127.0.0.1 - - [19/Feb/2018:18:36:26 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:36:37 -0300] "GET /CifPag/ HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:36:42 -0300] "GET /CifPag/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:37:01 -0300] "POST /CifPag/sistema/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:37:02 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34533
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:37:14 -0300] "GET /CifPag/dashboard/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:37:43 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?nome= HTTP/1.1" 500 4609
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:37:44 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:39:11 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?nome= HTTP/1.1" 500 5230
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:39:17 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34533
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:39:28 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?nome= HTTP/1.1" 500 5230
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:48:44 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34533
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:48:54 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?nome= HTTP/1.1" 500 5213
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:59:27 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34533
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:59:42 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?nome= HTTP/1.1" 200 36260
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:59:44 -0300] "GET /CifPag/assets/global/plugins/datatables/datatables.min.js HTTP/1.1" 200 1284525
0:0:0:0:0:0:0:1 - - [19/Feb/2018:18:59:50 -0300] "GET /CifPag/DadosUsuario/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:02:18 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:02:29 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado= HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:02:42 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado=root HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:02:51 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado=root HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:04:59 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado=root HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:05:20 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado=1 HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:07:18 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:07:23 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:07:38 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado= HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:07:48 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado=1 HTTP/1.1" 200 36269
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:15:29 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:15:34 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 34542
0:0:0:0:0:0:0:1 - - [19/Feb/2018:19:15:48 -0300] "GET /CifPag/DadosUsuario/PerfilUsuario?usuarioLogado= HTTP/1.1" 500 11899
