127.0.0.1 - - [10/Mar/2018:08:29:57 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:30:06 -0300] "GET /CifPag/ HTTP/1.1" 200 5949
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:30:10 -0300] "GET /CifPag/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:30:27 -0300] "POST /CifPag/sistema/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:30:28 -0300] "GET /CifPag/dashboard/index HTTP/1.1" 200 36997
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:30:40 -0300] "GET /CifPag/dashboard/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:30:56 -0300] "GET /CifPag/DadosUsuario/Consulta HTTP/1.1" 200 31709
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:31:06 -0300] "GET /CifPag/DadosUsuario/favicon.ico HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:31:46 -0300] "GET /CifPag/DadosUsuario/Editar?id=1 HTTP/1.1" 200 37788
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:35:58 -0300] "GET /CifPag/DadosUsuario/Editar?id=1 HTTP/1.1" 200 37812
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:40:53 -0300] "GET /CifPag/DadosUsuario/Editar?id=1 HTTP/1.1" 200 38007
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:41:52 -0300] "GET /CifPag/DadosUsuario/Editar?id=1 HTTP/1.1" 200 38277
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:43:44 -0300] "GET /CifPag/DadosUsuario/Consulta HTTP/1.1" 200 31709
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:43:51 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 500 5513
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:43:51 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:44:34 -0300] "GET /CifPag/DadosUsuario/Editar?id=1 HTTP/1.1" 200 38277
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:51:00 -0300] "GET /CifPag/DadosUsuario/Editar?id=1 HTTP/1.1" 200 38299
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:52:28 -0300] "GET /CifPag/DadosUsuario/Consulta HTTP/1.1" 200 31709
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:55:52 -0300] "GET /CifPag/DadosUsuario/Consulta HTTP/1.1" 200 31709
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:56:14 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Mar/2018:08:59:40 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 500 5207
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:02:21 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 39119
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:03:45 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 39165
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:05:57 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 38019
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:07:20 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 38015
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:07:55 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 38001
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:11:18 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 37866
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:14:22 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 37866
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:14:42 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 37866
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:15:08 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 39255
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:16:45 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 40145
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:19:14 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 40230
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:19:41 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 40230
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:21:04 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 40228
0:0:0:0:0:0:0:1 - - [10/Mar/2018:09:22:41 -0300] "GET /CifPag/DadosUsuario/Cadastro HTTP/1.1" 200 40570
